Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.780487,-1177.054932,-0.008623,-0.314959,-7.999958,-3.471780,-0.176861,-79.999573,-1177.054932,-8.000044,0.000000
0.300000,-0.790543,-1176.921509,-0.008601,-0.314959,-7.999958,-3.516509,-0.179140,-79.999573,-1176.921509,-8.000044,0.000000
0.400000,-0.822937,-1176.965942,-0.008821,-0.314887,-7.998127,-3.660607,-0.186480,-79.981270,-1176.965942,-7.986567,0.000000
0.500000,-0.811386,-1177.010498,-0.008662,-0.311547,-7.913304,-3.609226,-0.183863,-79.133041,-1177.010498,-7.901883,0.000000
0.600000,-0.732819,-1177.010498,-0.008679,-0.308210,-7.828524,-3.259740,-0.166059,-78.285240,-1177.010498,-7.817016,0.000000
0.700000,-0.723892,-1176.965942,-0.008627,-0.304868,-7.743640,-3.220033,-0.164036,-77.436401,-1176.965942,-7.732331,0.000000
0.800000,-0.723145,-1176.965942,-0.008636,-0.301538,-7.659068,-3.216707,-0.163867,-76.590683,-1176.965942,-7.647646,0.000000
0.900000,-0.654251,-1177.010498,-0.008670,-0.298201,-7.574305,-2.910254,-0.148255,-75.743050,-1177.010498,-7.562962,0.000000
1.000000,-0.693344,-1176.965942,-0.008649,-0.294864,-7.489534,-3.084149,-0.157114,-74.895340,-1176.965942,-7.478278,0.000000
1.100000,-0.653503,-1176.876953,-0.008662,-0.291534,-7.404954,-2.906928,-0.148086,-74.049538,-1176.876953,-7.393593,0.000000
1.200000,-0.630417,-1177.010498,-0.008619,-0.288192,-7.320070,-2.804234,-0.142854,-73.200699,-1177.010498,-7.308908,0.000000
1.300000,-0.665421,-1177.010498,-0.008666,-0.284861,-7.235472,-2.959938,-0.150786,-72.354713,-1177.010498,-7.224224,0.000000
1.400000,-0.598770,-1177.010498,-0.008636,-0.281528,-7.150804,-2.663463,-0.135683,-71.508041,-1177.010498,-7.139540,0.000000
1.500000,-0.619247,-1176.965942,-0.008653,-0.278187,-7.065946,-2.754550,-0.140323,-70.659462,-1176.965942,-7.054672,0.000000
1.600000,-0.621109,-1177.010498,-0.008675,-0.274858,-6.981400,-2.762831,-0.140745,-69.814011,-1177.010498,-6.969988,0.000000
1.700000,-0.555206,-1176.965942,-0.008666,-0.271518,-6.896568,-2.469681,-0.125812,-68.965683,-1176.965942,-6.885303,0.000000
1.800000,-0.597656,-1176.965942,-0.008670,-0.268184,-6.811884,-2.658508,-0.135431,-68.118843,-1176.965942,-6.800619,0.000000
1.900000,-0.557434,-1176.921509,-0.008640,-0.264853,-6.727269,-2.479591,-0.126316,-67.272690,-1176.921509,-6.715934,0.000000
2.000000,-0.563019,-1177.054932,-0.008645,-0.261512,-6.642394,-2.504433,-0.127582,-66.423935,-1177.054932,-6.631249,0.000000
2.100000,-0.564880,-1176.965942,-0.008632,-0.258182,-6.557830,-2.512713,-0.128004,-65.578300,-1176.965942,-6.546565,0.000000
2.200000,-0.520569,-1177.054932,-0.008649,-0.254845,-6.473068,-2.315606,-0.117963,-64.730682,-1177.054932,-6.461881,0.000000
2.300000,-0.570099,-1176.965942,-0.008636,-0.251508,-6.388296,-2.535926,-0.129186,-63.882965,-1176.965942,-6.377196,0.000000
2.400000,-0.532486,-1176.965942,-0.008632,-0.248179,-6.303751,-2.368616,-0.120663,-63.037506,-1176.965942,-6.292329,0.000000
2.500000,-0.512009,-1177.054932,-0.008675,-0.244838,-6.218893,-2.277528,-0.116023,-62.188927,-1177.054932,-6.207645,0.000000
2.600000,-0.549622,-1176.965942,-0.008649,-0.241506,-6.134260,-2.444839,-0.124546,-61.342598,-1176.965942,-6.122960,0.000000
2.700000,-0.503815,-1177.010498,-0.008649,-0.238173,-6.049584,-2.241080,-0.114166,-60.495838,-1177.010498,-6.038275,0.000000
2.800000,-0.532120,-1177.010498,-0.008623,-0.234833,-5.964752,-2.366987,-0.120580,-59.647522,-1177.010498,-5.953590,0.000000
2.900000,-0.529510,-1177.010498,-0.008658,-0.231503,-5.880188,-2.355380,-0.119989,-58.801888,-1177.010498,-5.868906,0.000000
3.000000,-0.485947,-1177.054932,-0.008658,-0.228165,-5.795400,-2.161599,-0.110117,-57.954002,-1177.054932,-5.784222,0.000000
3.100000,-0.524292,-1177.054932,-0.008632,-0.224830,-5.710690,-2.332167,-0.118806,-57.106895,-1177.054932,-5.699537,0.000000
3.200000,-0.494507,-1177.010498,-0.008653,-0.221499,-5.626083,-2.199676,-0.112057,-56.260830,-1177.010498,-5.614671,0.000000
3.300000,-0.503067,-1177.054932,-0.008627,-0.218158,-5.541216,-2.237754,-0.113997,-55.412163,-1177.054932,-5.529986,0.000000
3.400000,-0.514984,-1177.010498,-0.008636,-0.214828,-5.456635,-2.290764,-0.116697,-54.566357,-1177.010498,-5.445301,0.000000
3.500000,-0.468811,-1177.099365,-0.008670,-0.211491,-5.371881,-2.085376,-0.106234,-53.718819,-1177.099365,-5.360616,0.000000
3.600000,-0.507904,-1177.010498,-0.008692,-0.208154,-5.287119,-2.259270,-0.115093,-52.871189,-1177.010498,-5.275932,0.000000
3.700000,-0.492645,-1177.010498,-0.008705,-0.204825,-5.202548,-2.191396,-0.111635,-52.025475,-1177.010498,-5.191247,0.000000
3.800000,-0.470673,-1177.010498,-0.008653,-0.201483,-5.117672,-2.093656,-0.106656,-51.176720,-1177.010498,-5.106563,0.000000
3.900000,-0.507904,-1177.010498,-0.008636,-0.198153,-5.033074,-2.259270,-0.115093,-50.330742,-1177.010498,-5.021878,0.000000
4.000000,-0.462112,-1177.054932,-0.008640,-0.194819,-4.948398,-2.055579,-0.104716,-49.483982,-1177.054932,-4.937194,0.000000
4.100000,-0.485565,-1177.054932,-0.008632,-0.191479,-4.863566,-2.159902,-0.110031,-48.635662,-1177.054932,-4.852327,0.000000
4.200000,-0.505310,-1177.010498,-0.008670,-0.188150,-4.779012,-2.247731,-0.114505,-47.790115,-1177.010498,-4.767642,0.000000
4.300000,-0.469177,-1177.054932,-0.008662,-0.184810,-4.694180,-2.087005,-0.106317,-46.941795,-1177.054932,-4.682958,0.000000
4.400000,-0.500458,-1177.054932,-0.008640,-0.181477,-4.609521,-2.226147,-0.113405,-46.095211,-1177.054932,-4.598273,0.000000
4.500000,-0.471420,-1177.010498,-0.008662,-0.178147,-4.524923,-2.096982,-0.106825,-45.249233,-1177.010498,-4.513588,0.000000
4.600000,-0.468811,-1177.054932,-0.008658,-0.174804,-4.440030,-2.085376,-0.106234,-44.400303,-1177.054932,-4.428904,0.000000
4.700000,-0.498978,-1177.010498,-0.008662,-0.171475,-4.355467,-2.219563,-0.113070,-43.554676,-1177.010498,-4.344220,0.000000
4.800000,-0.447220,-1177.054932,-0.008658,-0.168138,-4.270705,-1.989333,-0.101341,-42.707047,-1177.054932,-4.259535,0.000000
4.900000,-0.478867,-1177.054932,-0.008653,-0.164801,-4.185942,-2.130105,-0.108513,-41.859421,-1177.054932,-4.174668,0.000000
5.000000,-0.459122,-1177.010498,-0.008636,-0.161472,-4.101379,-2.042275,-0.104038,-41.013786,-1177.010498,-4.089983,0.000000
5.100000,-0.456146,-1177.010498,-0.008619,-0.158131,-4.016529,-2.029040,-0.103364,-40.165295,-1177.010498,-4.005299,0.000000
5.200000,-0.484818,-1177.054932,-0.008658,-0.154800,-3.931914,-2.156576,-0.109861,-39.319141,-1177.054932,-3.920614,0.000000
5.300000,-0.435303,-1177.054932,-0.008623,-0.151466,-3.847247,-1.936323,-0.098641,-38.472469,-1177.054932,-3.835930,0.000000
5.400000,-0.465454,-1177.099365,-0.008632,-0.148126,-3.762406,-2.070443,-0.105473,-37.624062,-1177.099365,-3.751245,0.000000
5.500000,-0.478867,-1177.010498,-0.008666,-0.144798,-3.677860,-2.130105,-0.108513,-36.778603,-1177.010498,-3.666560,0.000000
5.600000,-0.430084,-1177.054932,-0.008623,-0.141458,-3.593037,-1.913110,-0.097458,-35.930370,-1177.054932,-3.581876,0.000000
5.700000,-0.484085,-1177.054932,-0.008619,-0.138124,-3.508344,-2.153318,-0.109695,-35.083439,-1177.054932,-3.497191,0.000000
5.800000,-0.456528,-1177.099365,-0.008653,-0.134793,-3.423737,-2.030737,-0.103451,-34.237373,-1177.099365,-3.412325,0.000000
5.900000,-0.472534,-1177.010498,-0.008662,-0.131452,-3.338879,-2.101937,-0.107078,-33.388790,-1177.010498,-3.327640,0.000000
6.000000,-0.488174,-1177.054932,-0.008614,-0.128123,-3.254334,-2.171508,-0.110622,-32.543335,-1177.054932,-3.242955,0.000000
6.100000,-0.444977,-1177.010498,-0.008640,-0.124787,-3.169597,-1.979356,-0.100833,-31.695967,-1177.010498,-3.158271,0.000000
6.200000,-0.478485,-1177.054932,-0.008662,-0.121449,-3.084800,-2.128408,-0.108426,-30.847996,-1177.054932,-3.073586,0.000000
6.300000,-0.463593,-1177.054932,-0.008649,-0.118120,-3.000236,-2.062163,-0.105052,-30.002363,-1177.054932,-2.988902,0.000000
6.400000,-0.449448,-1177.099365,-0.008666,-0.114778,-2.915370,-1.999243,-0.101846,-29.153698,-1177.099365,-2.904217,0.000000
6.500000,-0.475143,-1177.099365,-0.008645,-0.111447,-2.830763,-2.113544,-0.107669,-28.307631,-1177.099365,-2.819532,0.000000
6.600000,-0.435303,-1177.054932,-0.008675,-0.108113,-2.746079,-1.936323,-0.098641,-27.460787,-1177.054932,-2.734848,0.000000
6.700000,-0.465454,-1177.054932,-0.008589,-0.104773,-2.661247,-2.070443,-0.105473,-26.612467,-1177.054932,-2.649981,0.000000
6.800000,-0.469559,-1177.010498,-0.008662,-0.101444,-2.576666,-2.088701,-0.106404,-25.766661,-1177.010498,-2.565297,0.000000
6.900000,-0.427475,-1177.099365,-0.008632,-0.098105,-2.491860,-1.901504,-0.096867,-24.918602,-1177.099365,-2.480612,0.000000
7.000000,-0.479233,-1177.143921,-0.008649,-0.094770,-2.407158,-2.131734,-0.108596,-24.071581,-1177.143921,-2.395927,0.000000
7.100000,-0.434555,-1177.099365,-0.008675,-0.091439,-2.322560,-1.932997,-0.098472,-23.225603,-1177.099365,-2.311243,0.000000
7.200000,-0.440887,-1177.054932,-0.008619,-0.088098,-2.237694,-1.961165,-0.099907,-22.376934,-1177.054932,-2.226558,0.000000
7.300000,-0.471420,-1177.010498,-0.008679,-0.084769,-2.153130,-2.096982,-0.106825,-21.531301,-1177.010498,-2.141874,0.000000
7.400001,-0.434921,-1177.054932,-0.008623,-0.081432,-2.068367,-1.934626,-0.098555,-20.683676,-1177.054932,-2.057189,0.000000
7.500000,-0.473282,-1177.054932,-0.008653,-0.078095,-1.983605,-2.105263,-0.107247,-19.836052,-1177.054932,-1.972322,0.000000
7.600000,-0.447586,-1177.143921,-0.008640,-0.074764,-1.899016,-1.990962,-0.101424,-18.990158,-1177.143921,-1.887638,0.000000
7.700000,-0.438644,-1177.054932,-0.008636,-0.071425,-1.814184,-1.951188,-0.099398,-18.141842,-1177.054932,-1.802953,0.000000
7.800000,-0.474030,-1177.054932,-0.008701,-0.068093,-1.729551,-2.108589,-0.107417,-17.295509,-1177.054932,-1.718269,0.000000
7.900001,-0.437531,-1177.099365,-0.008658,-0.064759,-1.644875,-1.946233,-0.099146,-16.448751,-1177.099365,-1.633584,0.000000
8.000000,-0.471039,-1177.143921,-0.008679,-0.061419,-1.560035,-2.095285,-0.106739,-15.600346,-1177.143921,-1.548899,0.000000
8.100000,-0.464722,-1177.054932,-0.008658,-0.058090,-1.475489,-2.067185,-0.105307,-14.754890,-1177.054932,-1.464215,0.000000
8.200001,-0.431198,-1177.099365,-0.008627,-0.054750,-1.390657,-1.918065,-0.097711,-13.906567,-1177.099365,-1.379531,0.000000
8.300000,-0.471786,-1177.054932,-0.008649,-0.051416,-1.305964,-2.098611,-0.106908,-13.059636,-1177.054932,-1.294846,0.000000
8.400001,-0.439758,-1177.054932,-0.008610,-0.048084,-1.221339,-1.956143,-0.099651,-12.213394,-1177.054932,-1.209979,0.000000
8.500000,-0.443497,-1177.143921,-0.008601,-0.044743,-1.136481,-1.972772,-0.100498,-11.364813,-1177.143921,-1.125295,0.000000
8.600000,-0.460251,-1177.099365,-0.008640,-0.041414,-1.051910,-2.047298,-0.104294,-10.519101,-1177.099365,-1.040610,0.000000
8.700001,-0.482224,-1177.099365,-0.008619,-0.039300,-0.998228,-2.145037,-0.109273,-9.982282,-1177.099365,-0.999954,0.000000
8.800000,-0.396942,-1177.099365,-0.008576,-0.039374,-1.000102,-1.765687,-0.089948,-10.001018,-1177.099365,-0.999954,0.000000
8.810000,-0.400299,-1177.054932,-0.008606,-0.039374,-1.000102,-1.780619,-0.090709,-10.001018,-1177.054932,-0.999954,0.000000
8.820001,-0.412216,-1177.143921,-0.008632,-0.039374,-1.000102,-1.833629,-0.093410,-10.001018,-1177.143921,-0.999954,0.000000
8.830001,-0.396942,-1176.965942,-0.008636,-0.039374,-1.000102,-1.765687,-0.089948,-10.001018,-1176.965942,-0.999954,0.000000
8.840000,-0.402161,-1177.143921,-0.008614,-0.039374,-1.000102,-1.788900,-0.091131,-10.001018,-1177.143921,-0.999954,0.000000
8.850000,-0.411835,-1176.965942,-0.008593,-0.039374,-1.000102,-1.831932,-0.093323,-10.001018,-1176.965942,-0.999954,0.000000
8.860001,-0.408112,-1177.010498,-0.008584,-0.039374,-1.000102,-1.815371,-0.092479,-10.001018,-1177.010498,-0.999954,0.000000
8.870001,-0.415558,-1177.188354,-0.008610,-0.039374,-1.000102,-1.848494,-0.094167,-10.001018,-1177.188354,-0.999954,0.000000
8.880000,-0.400665,-1177.010498,-0.008645,-0.039374,-1.000102,-1.782248,-0.090792,-10.001018,-1177.010498,-0.999954,0.000000
8.890000,-0.405136,-1177.099365,-0.008610,-0.039374,-1.000102,-1.802135,-0.091805,-10.001018,-1177.099365,-0.999954,0.000000
8.900001,-0.403641,-1177.054932,-0.008610,-0.039374,-1.000102,-1.795484,-0.091466,-10.001018,-1177.054932,-0.999954,0.000000
8.910001,-0.408859,-1177.054932,-0.008558,-0.039374,-1.000102,-1.818697,-0.092649,-10.001018,-1177.054932,-0.999954,0.000000
8.920000,-0.406250,-1177.143921,-0.008601,-0.039374,-1.000102,-1.807090,-0.092058,-10.001018,-1177.143921,-0.999954,0.000000
8.930000,-0.401413,-1177.054932,-0.008610,-0.039374,-1.000102,-1.785574,-0.090961,-10.001018,-1177.054932,-0.999954,0.000000
8.940001,-0.406631,-1177.143921,-0.008627,-0.039374,-1.000102,-1.808787,-0.092144,-10.001018,-1177.143921,-0.999954,0.000000
8.950001,-0.409225,-1177.099365,-0.008623,-0.039374,-1.000102,-1.820326,-0.092732,-10.001018,-1177.099365,-0.999954,0.000000
8.960000,-0.405502,-1177.010498,-0.008610,-0.039374,-1.000102,-1.803764,-0.091888,-10.001018,-1177.010498,-0.999954,0.000000
8.970000,-0.405136,-1177.143921,-0.008593,-0.039374,-1.000102,-1.802135,-0.091805,-10.001018,-1177.143921,-0.999954,0.000000
8.980000,-0.414444,-1177.010498,-0.008597,-0.039374,-1.000102,-1.843539,-0.093914,-10.001018,-1177.010498,-0.999954,0.000000
8.990001,-0.412949,-1177.054932,-0.008623,-0.039374,-1.000102,-1.836887,-0.093575,-10.001018,-1177.054932,-0.999954,0.000000
9.000000,-0.411835,-1177.054932,-0.008632,-0.039374,-1.000102,-1.831932,-0.093323,-10.001018,-1177.054932,-0.999954,0.000000
9.010000,-0.409973,-1176.965942,-0.008636,-0.039374,-1.000102,-1.823652,-0.092901,-10.001018,-1176.965942,-0.999954,0.000000
9.020000,-0.414444,-1177.099365,-0.008632,-0.039374,-1.000102,-1.843539,-0.093914,-10.001018,-1177.099365,-0.999954,0.000000
9.030001,-0.408112,-1177.010498,-0.008593,-0.039374,-1.000102,-1.815371,-0.092479,-10.001018,-1177.010498,-0.999937,0.000000
9.040000,-0.418915,-1177.099365,-0.008589,-0.039374,-1.000093,-1.863426,-0.094927,-10.000934,-1177.099365,-0.999763,0.000000
9.050000,-0.398804,-1177.143921,-0.008614,-0.039373,-1.000084,-1.773968,-0.090370,-10.000843,-1177.143921,-0.999590,0.000000
9.060000,-0.405884,-1177.010498,-0.008640,-0.039373,-1.000067,-1.805461,-0.091975,-10.000669,-1177.010498,-0.999434,0.000000
9.070001,-0.421143,-1177.099365,-0.008623,-0.039371,-1.000015,-1.873336,-0.095432,-10.000147,-1177.099365,-0.999261,0.000000
9.080001,-0.438644,-1177.010498,-0.008601,-0.039367,-0.999919,-1.951188,-0.099398,-9.999193,-1177.010498,-0.999104,0.000000
9.090000,-0.436035,-1177.143921,-0.008571,-0.039360,-0.999755,-1.939581,-0.098807,-9.997550,-1177.143921,-0.998931,0.000000
9.100000,-0.435303,-1177.143921,-0.008589,-0.039354,-0.999582,-1.936323,-0.098641,-9.995817,-1177.143921,-0.998757,0.000000
9.110001,-0.421524,-1177.010498,-0.008614,-0.039347,-0.999417,-1.875033,-0.095519,-9.994166,-1177.010498,-0.998601,0.000000
9.120001,-0.430450,-1177.188354,-0.008610,-0.039342,-0.999278,-1.914739,-0.097541,-9.992782,-1177.188354,-0.998428,0.000000
9.130000,-0.423386,-1177.010498,-0.008614,-0.039335,-0.999121,-1.883313,-0.095941,-9.991215,-1177.010498,-0.998255,0.000000
9.140000,-0.412216,-1177.099365,-0.008597,-0.039329,-0.998957,-1.833629,-0.093410,-9.989572,-1177.099365,-0.998099,0.000000
9.150001,-0.418167,-1177.099365,-0.008589,-0.039322,-0.998784,-1.860100,-0.094758,-9.987838,-1177.099365,-0.997925,0.000000
9.160001,-0.422256,-1177.054932,-0.008584,-0.039315,-0.998601,-1.878291,-0.095685,-9.986013,-1177.054932,-0.997769,0.000000
9.170000,-0.417801,-1177.099365,-0.008614,-0.039308,-0.998428,-1.858471,-0.094675,-9.984281,-1177.099365,-0.997595,0.000000
9.180000,-0.427856,-1177.054932,-0.008636,-0.039302,-0.998280,-1.903201,-0.096954,-9.982804,-1177.054932,-0.997422,0.000000
9.190001,-0.442001,-1177.099365,-0.008649,-0.039297,-0.998142,-1.966120,-0.100159,-9.981419,-1177.099365,-0.997266,0.000000
9.200001,-0.426727,-1177.099365,-0.008623,-0.039292,-0.998012,-1.898178,-0.096698,-9.980117,-1177.099365,-0.997093,0.000000
9.210000,-0.441254,-1177.010498,-0.008593,-0.039287,-0.997881,-1.962794,-0.099990,-9.978815,-1177.010498,-0.996936,0.000000
9.220000,-0.437897,-1177.143921,-0.008606,-0.039283,-0.997778,-1.947862,-0.099229,-9.977777,-1177.143921,-0.996763,0.000000
9.230000,-0.455780,-1177.054932,-0.008614,-0.039279,-0.997691,-2.027411,-0.103281,-9.976908,-1177.054932,-0.996589,0.000000
9.240001,-0.451309,-1177.099365,-0.008614,-0.039274,-0.997570,-2.007524,-0.102268,-9.975697,-1177.099365,-0.996433,0.000000
9.250000,-0.437897,-1177.099365,-0.008606,-0.039266,-0.997352,-1.947862,-0.099229,-9.973524,-1177.099365,-0.996260,0.000000
9.260000,-0.443863,-1176.965942,-0.008610,-0.039256,-0.997093,-1.974401,-0.100581,-9.970927,-1176.965942,-0.996104,0.000000
9.270000,-0.440887,-1177.188354,-0.008606,-0.039244,-0.996807,-1.961165,-0.099907,-9.968066,-1177.188354,-0.995930,0.000000
9.280001,-0.423004,-1177.054932,-0.008632,-0.039233,-0.996529,-1.881616,-0.095854,-9.965288,-1177.054932,-0.995757,0.000000
9.290001,-0.430832,-1177.143921,-0.008627,-0.039226,-0.996338,-1.916436,-0.097628,-9.963380,-1177.143921,-0.995601,0.000000
9.300000,-0.436417,-1177.099365,-0.008632,-0.039222,-0.996243,-1.941278,-0.098893,-9.962426,-1177.099365,-0.995427,0.000000
9.310000,-0.433807,-1176.965942,-0.008589,-0.039221,-0.996208,-1.929672,-0.098302,-9.962078,-1176.965942,-0.995271,0.000000
9.320001,-0.435303,-1177.099365,-0.008601,-0.039219,-0.996173,-1.936323,-0.098641,-9.961730,-1177.099365,-0.995098,0.000000
9.330001,-0.450943,-1176.965942,-0.008601,-0.039216,-0.996095,-2.005895,-0.102185,-9.960950,-1176.965942,-0.994924,0.000000
9.340000,-0.445358,-1177.099365,-0.008614,-0.039211,-0.995965,-1.981053,-0.100920,-9.959648,-1177.099365,-0.994768,0.000000
9.350000,-0.443115,-1177.054932,-0.008632,-0.039205,-0.995801,-1.971075,-0.100411,-9.958006,-1177.054932,-0.994595,0.000000
9.360001,-0.452423,-1177.010498,-0.008645,-0.039197,-0.995610,-2.012478,-0.102521,-9.956098,-1177.010498,-0.994439,0.000000
9.370001,-0.454285,-1177.143921,-0.008614,-0.039190,-0.995427,-2.020759,-0.102942,-9.954274,-1177.143921,-0.994265,0.000000
9.380000,-0.453537,-1177.054932,-0.008593,-0.039183,-0.995254,-2.017433,-0.102773,-9.952540,-1177.054932,-0.994092,0.000000
9.390000,-0.466583,-1177.143921,-0.008606,-0.039176,-0.995063,-2.075466,-0.105729,-9.950633,-1177.143921,-0.993935,0.000000
9.400001,-0.477371,-1177.054932,-0.008627,-0.039169,-0.994890,-2.123453,-0.108174,-9.948899,-1177.054932,-0.993762,0.000000
9.410001,-0.484085,-1177.054932,-0.008636,-0.039164,-0.994768,-2.153318,-0.109695,-9.947680,-1177.054932,-0.993606,0.000000
9.420000,-0.488174,-1177.143921,-0.008597,-0.039160,-0.994655,-2.171508,-0.110622,-9.946552,-1177.143921,-0.993433,0.000000
9.430000,-0.498230,-1177.054932,-0.008589,-0.039155,-0.994534,-2.216238,-0.112901,-9.945341,-1177.054932,-0.993259,0.000000
9.440001,-0.496735,-1177.188354,-0.008632,-0.039153,-0.994474,-2.209586,-0.112562,-9.944736,-1177.188354,-0.993103,0.000000
9.450001,-0.496368,-1177.143921,-0.008640,-0.039150,-0.994421,-2.207957,-0.112479,-9.944214,-1177.143921,-0.992930,0.000000
9.460000,-0.508652,-1176.965942,-0.008614,-0.039145,-0.994274,-2.262596,-0.115262,-9.942738,-1176.965942,-0.992773,0.000000
9.470000,-0.506042,-1177.099365,-0.008614,-0.039139,-0.994127,-2.250989,-0.114671,-9.941269,-1177.099365,-0.992600,0.000000
9.480000,-0.488541,-1177.054932,-0.008619,-0.039133,-0.993988,-2.173137,-0.110705,-9.939876,-1177.054932,-0.992427,0.000000
9.490001,-0.478119,-1177.143921,-0.008597,-0.039126,-0.993797,-2.126779,-0.108343,-9.937968,-1177.143921,-0.992271,0.000000
9.500000,-0.479980,-1177.099365,-0.008593,-0.039117,-0.993580,-2.135060,-0.108765,-9.935803,-1177.099365,-0.992097,0.000000
9.510000,-0.468445,-1177.054932,-0.008597,-0.039108,-0.993337,-2.083747,-0.106151,-9.933373,-1177.054932,-0.991924,0.000000
9.520000,-0.446091,-1177.232910,-0.008627,-0.039099,-0.993103,-1.984311,-0.101086,-9.931034,-1177.232910,-0.991767,0.000000
9.530001,-0.455032,-1177.054932,-0.008589,-0.039090,-0.992886,-2.024085,-0.103112,-9.928862,-1177.054932,-0.991594,0.000000
9.540001,-0.472534,-1177.099365,-0.008593,-0.039084,-0.992730,-2.101937,-0.107078,-9.927302,-1177.099365,-0.991438,0.000000
9.550000,-0.469925,-1177.143921,-0.008593,-0.039080,-0.992643,-2.090330,-0.106487,-9.926432,-1177.143921,-0.991265,0.000000
9.560000,-0.476624,-1177.054932,-0.008584,-0.039078,-0.992592,-2.120127,-0.108004,-9.925918,-1177.054932,-0.991091,0.000000
9.570001,-0.481476,-1177.099365,-0.008606,-0.039076,-0.992522,-2.141711,-0.109104,-9.925220,-1177.099365,-0.990935,0.000000
9.580001,-0.493011,-1177.010498,-0.008636,-0.039070,-0.992384,-2.193025,-0.111718,-9.923836,-1177.010498,-0.990761,0.000000
9.590000,-0.477005,-1177.054932,-0.008597,-0.039065,-0.992262,-2.121824,-0.108091,-9.922617,-1177.054932,-0.990605,0.000000
9.600000,-0.474030,-1177.054932,-0.008597,-0.039060,-0.992115,-2.108589,-0.107417,-9.921148,-1177.054932,-0.990432,0.000000
9.610001,-0.473648,-1177.054932,-0.008606,-0.039055,-0.991985,-2.106892,-0.107330,-9.919847,-1177.054932,-0.990259,0.000000
9.620001,-0.491898,-1177.099365,-0.008589,-0.039049,-0.991845,-2.188070,-0.111466,-9.918453,-1177.099365,-0.990103,0.000000
9.630000,-0.523178,-1177.054932,-0.008623,-0.039042,-0.991672,-2.327212,-0.118554,-9.916720,-1177.054932,-0.989929,0.000000
9.640000,-0.514236,-1177.054932,-0.008614,-0.039036,-0.991516,-2.287438,-0.116528,-9.915160,-1177.054932,-0.989773,0.000000
9.650001,-0.517593,-1177.054932,-0.008645,-0.039030,-0.991360,-2.302370,-0.117288,-9.913601,-1177.054932,-0.989599,0.000000
9.660001,-0.510895,-1177.054932,-0.008593,-0.039025,-0.991230,-2.272573,-0.115770,-9.912299,-1177.054932,-0.989426,0.000000
9.670000,-0.509399,-1177.143921,-0.008623,-0.039019,-0.991082,-2.265922,-0.115432,-9.910823,-1177.143921,-0.989270,0.000000
9.680000,-0.491898,-1177.099365,-0.008619,-0.039014,-0.990961,-2.188070,-0.111466,-9.909612,-1177.099365,-0.989097,0.000000
9.690001,-0.484085,-1177.099365,-0.008593,-0.039008,-0.990796,-2.153318,-0.109695,-9.907962,-1177.099365,-0.988941,0.000000
9.700001,-0.481842,-1177.143921,-0.008640,-0.039001,-0.990614,-2.143340,-0.109187,-9.906145,-1177.143921,-0.988767,0.000000
9.710000,-0.474396,-1177.010498,-0.008632,-0.038992,-0.990397,-2.110218,-0.107500,-9.903973,-1177.010498,-0.988593,0.000000
9.720000,-0.481842,-1177.143921,-0.008632,-0.038982,-0.990138,-2.143340,-0.109187,-9.901376,-1177.143921,-0.988437,0.000000
9.730000,-0.456894,-1177.054932,-0.008619,-0.038969,-0.989808,-2.032366,-0.103534,-9.898076,-1177.054932,-0.988264,0.000000
9.740001,-0.458389,-1177.054932,-0.008601,-0.038957,-0.989504,-2.039017,-0.103872,-9.895041,-1177.054932,-0.988108,0.000000
9.750000,-0.453171,-1177.099365,-0.008593,-0.038949,-0.989305,-2.015804,-0.102690,-9.893049,-1177.099365,-0.987935,0.000000
9.760000,-0.447220,-1177.010498,-0.008623,-0.038943,-0.989157,-1.989333,-0.101341,-9.891573,-1177.010498,-0.987761,0.000000
9.770000,-0.470673,-1177.188354,-0.008636,-0.038936,-0.988984,-2.093656,-0.106656,-9.889840,-1177.188354,-0.987605,0.000000
9.780001,-0.458008,-1177.010498,-0.008632,-0.038930,-0.988811,-2.037321,-0.103786,-9.888106,-1177.010498,-0.987431,0.000000
9.790001,-0.457642,-1177.099365,-0.008593,-0.038923,-0.988655,-2.035691,-0.103703,-9.886547,-1177.099365,-0.987275,0.000000
9.800000,-0.474396,-1177.099365,-0.008601,-0.038918,-0.988524,-2.110218,-0.107500,-9.885244,-1177.099365,-0.987102,0.000000
9.810000,-0.478867,-1177.010498,-0.008627,-0.038913,-0.988403,-2.130105,-0.108513,-9.884027,-1177.010498,-0.986929,0.000000
9.820001,-0.493011,-1177.143921,-0.008653,-0.038909,-0.988290,-2.193025,-0.111718,-9.882898,-1177.143921,-0.986772,0.000000
9.830001,-0.500458,-1177.010498,-0.008619,-0.038903,-0.988143,-2.226147,-0.113405,-9.881430,-1177.010498,-0.986599,0.000000
9.840000,-0.496735,-1177.054932,-0.008606,-0.038898,-0.988004,-2.209586,-0.112562,-9.880036,-1177.054932,-0.986443,0.000000
9.850000,-0.495987,-1177.143921,-0.008601,-0.038891,-0.987830,-2.206260,-0.112392,-9.878304,-1177.143921,-0.986269,0.000000
